Publication_code,1_Peer_review,2_Body_temp,3_Random_allocation,4_Blinded_allocation,5_Blinded_assessment,6_Anaesthetic_not_neuroprotective,7_Model_comorbidity,8_Power_calc,9_Animal_ethics,10_Disclosure_statement,Total_score,Quality_summed
Umemura_1996,Yes,Yes,NR,NR,Yes,NA,No,NR,No,No,3,2
Umemura_2008,Yes,Yes,NR,NR,Yes,NA,No,NR,Yes,No,4,2
Umemura_1995,Yes,Yes,Yes,NR,NR,NA,No,NR,No,No,3,2
Umemura_1997,Yes,Yes,NR,NR,Yes,NA,No,NR,No,No,3,2
Umemura_1994_a,Yes,Yes,NR,NR,Yes,NA,No,NR,No,No,3,2
Umemura_1993,Yes,Yes,Yes,NR,Yes,NA,No,NR,No,No,4,3
Umemura_1994_b,Yes,Yes,Yes,Yes,NR,NA,No,NR,No,No,4,3
Van Hoecke_2005,Yes,NR,NR,NR,NR,NA,No,NR,Yes,No,2,0
Van Reempts_1987,Yes,NR,NR,NR,NR,NA,Yes,NR,No,No,2,0
van Rossem_1996,Yes,Yes,NR,Yes,Yes,NA,No,NR,Yes,No,5,3
Vandeputte_2012,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,Yes,4,1
Vandeputte_2010,Yes,NR,NR,NR,NR,NA,No,Yes,Yes,Yes,4,1
Wajima_2010,Yes,Yes,NR,NR,Yes,NA,Yes,NR,Yes,No,5,2
Wajima_2011,Yes,Yes,NR,NR,Yes,NA,Yes,NR,Yes,Yes,6,2
Walter_2015,Yes,Yes,Yes,Yes,Yes,NA,No,NR,Yes,Yes,7,4
Wang_2017,Yes,Yes,NR,NR,Yes,NA,No,NR,Yes,Yes,5,2
Wang_2016_a,Yes,NR,NR,NR,NR,NA,Yes,NR,Yes,Yes,4,0
Wang_2013,Yes,Yes,Yes,Yes,Yes,NA,No,NR,Yes,No,6,4
Wang_2016_b,Yes,Yes,Yes,NR,NR,NA,No,NR,Yes,No,4,2
Watson_2002,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Weise_2011,Yes,NR,NR,NR,NR,NA,No,NR,Yes,Yes,3,0
Wiessner_2003,Yes,Yes,NR,Yes,NR,NA,No,NR,Yes,No,4,2
Wood_1997,Yes,Yes,NR,NR,Yes,NA,No,NR,Yes,No,4,2
Wood_1996,Yes,Yes,NR,NR,Yes,NA,No,NR,Yes,No,4,2
Wurm_2007,Yes,NR,NR,NR,NR,NA,No,NR,No,Yes,2,0
Yan_2018_a,Yes,Yes,Yes,NR,Yes,NA,Yes,NR,Yes,Yes,7,3
Yan_1998,Yes,Yes,NR,NR,NR,NA,No,NR,No,No,2,1
Yan_2018_b,Yes,NR,Yes,NR,Yes,NA,No,NR,Yes,No,4,2
Yanev_2019,Yes,Yes,Yes,Yes,Yes,NA,No,Yes,Yes,Yes,8,5
Yang_2018,Yes,Yes,Yes,Yes,Yes,NA,No,NR,Yes,No,6,4
Yao_2015,Yes,Yes,NA,NR,NR,NA,Yes,NR,Yes,Yes,5,1
Yao_1996,Yes,Yes,NA,NA,NA,NA,Yes,NR,Yes,No,4,1
Yao_1997,Yes,Yes,NR,NR,NR,NA,Yes,NR,Yes,No,4,1
Yao_2009_a,Yes,Yes,NR,NR,NR,NA,Yes,NR,Yes,No,4,1
Yao_2011,Yes,Yes,NR,NR,NR,NA,Yes,Yes,Yes,Yes,6,2
Yao_2014,Yes,Yes,Yes,NR,NR,NA,Yes,NR,Yes,Yes,6,2
Yao_2002,Yes,Yes,NR,NR,NR,NA,Yes,NR,Yes,No,4,1
Yao_2003,Yes,Yes,NR,NR,NR,NA,Yes,Yes,Yes,No,5,2
Yao_2001,Yes,Yes,NA,NA,NA,NA,Yes,NR,Yes,No,4,1
Yao_2009_b,Yes,Yes,NR,NR,NR,NA,Yes,NR,Yes,Yes,5,1
Ye_2018,Yes,NR,Yes,Yes,Yes,NA,No,Yes,Yes,No,6,4
Yew_2019,Yes,NR,Yes,Yes,Yes,NA,No,NR,Yes,Yes,6,3
Yin_1998,No,NR,NR,NR,NR,NA,No,NR,No,No,0,0
Yoshida_2012,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,Yes,4,1
Yu_2015,Yes,NR,NR,NR,Yes,NA,No,NR,Yes,Yes,4,1
Yu_2016,Yes,NR,NR,NR,NR,NA,No,NR,Yes,Yes,3,0
Zhan_2013,Yes,NR,Yes,Yes,Yes,NA,No,NR,Yes,Yes,6,3
Zhang_2010,Yes,NR,NR,NR,NR,NA,No,NR,Yes,Yes,3,0
Zhao_2004,Yes,NR,NR,NR,NR,NA,No,NR,Yes,No,2,0
Zhao_2001_a,Yes,Yes,NR,NR,Yes,NA,No,NR,Yes,No,4,2
Zhao_2001_b,Yes,Yes,NR,NR,Yes,NA,No,NR,Yes,No,4,2
Zhao_2005_a,Yes,Yes,NR,NR,Yes,NA,Yes,NR,Yes,No,5,2
Zhao_2005_b,Yes,Yes,NR,NR,Yes,NA,Yes,NR,Yes,No,5,2
Zhao_2005_c,Yes,Yes,NR,NR,Yes,NA,Yes,NR,Yes,No,5,2
Zhao_1996,Yes,Yes,NA,NR,NR,NA,Yes,NR,No,No,3,1
Zhao_2018,Yes,NR,NA,NR,NR,NA,No,NR,Yes,Yes,3,0
Zhao_2017,Yes,NR,Yes,NR,Yes,NA,No,Yes,Yes,Yes,6,3
Zheng_2013,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,Yes,4,1
Zheng_2010,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,Yes,4,1
Zou_2006,Yes,NR,NR,NR,NR,NA,No,NR,Yes,No,2,0
Zou_2004,No,NR,NR,NR,NR,NA,No,NR,Yes,No,1,0
Gudasheva_2012,Yes,NR,NR,NR,NR,NA,No,NR,Yes,No,2,0
Mitagvariia_1996,Yes,NR,NR,NR,NR,NA,No,NR,No,No,1,0
