Publication_code,1_Peer_review,2_Body_temp,3_Random_allocation,4_Blinded_allocation,5_Blinded_assessment,6_Anaesthetic_not_neuroprotective,7_Model_comorbidity,8_Power_calc,9_Animal_ethics,10_Disclosure_statement,Total_score,Quality_summed
Kharlamov_2000,No,Yes,Yes,No,Yes,NA,Yes,NR,Yes,No,5,3
Kharlamov_1994,Yes,Yes,Yes,NR,NR,NA,No,NR,No,No,3,2
Kim_2015,Yes,Yes,NR,NA,Yes,NA,No,NR,Yes,Yes,5,2
Kim_2000,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Kim_2014,Yes,Yes,NA,NA,Yes,NA,No,NR,Yes,Yes,5,2
Kim_2013,No,NR,NR,NR,Yes,NA,No,NR,Yes,Yes,3,1
Kim_2016,Yes,NR,Yes,Yes,NR,NA,No,NR,Yes,Yes,5,2
Kim_2018,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,Yes,4,1
Kimura_2005,Yes,Yes,Yes,Yes,NR,NA,No,NR,Yes,No,5,3
Kitayama_2001,Yes,Yes,NR,NR,NR,NA,Yes,NR,Yes,No,4,1
Kleinschnitz_2003,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Kleinschnitz_2008,Yes,NR,NR,NR,NR,NA,No,NR,Yes,Yes,3,0
Kleinschnitz_2005,Yes,Yes,NA,NA,NA,NA,No,NR,Yes,No,3,1
Kluska_2005,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Knieling_2009,Yes,NR,NR,NR,NR,NA,No,NR,Yes,No,2,0
Koroleva_1998,Yes,Yes,NR,NR,Yes,NA,No,NR,Yes,No,4,2
Krysl_2012,Yes,NR,Yes,NR,NR,NA,No,NR,Yes,Yes,4,1
Kunze_2015,Yes,NR,NR,Yes,NR,NA,No,NR,Yes,Yes,4,1
Kunze_2006,Yes,Yes,NR,NR,NR,NA,No,NR,No,No,2,1
Kuroiwa_2016,Yes,Yes,NR,NR,NR,NA,No,NR,No,Yes,3,1
Kuroiwa_2009,Yes,Yes,NR,NR,Yes,NA,No,NR,Yes,No,4,2
Kurtys_2019,Yes,Yes,Yes,NR,Yes,NA,No,NR,Yes,Yes,6,3
Ladwig_2018,Yes,Yes,Yes,Yes,NR,NA,No,NR,Yes,No,5,3
Ladwig_2017,Yes,NR,Yes,Yes,Yes,NA,No,NR,Yes,Yes,6,3
Lai_2015,Yes,NR,NR,NR,NR,NA,No,NR,Yes,Yes,3,0
Lanens_1993,Yes,NR,NA,NA,NA,NA,No,NR,No,No,1,0
Lapash Daniels_2009,Yes,Yes,NR,NR,Yes,NA,No,NR,No,No,3,2
Lee_2016,Yes,Yes,Yes,Yes,Yes,NA,No,NR,Yes,Yes,7,4
Lee_2007,No,Yes,NA,NA,NA,NA,No,NR,Yes,No,2,1
Lee_2011,Yes,Yes,NA,NA,NA,NA,No,NR,No,No,2,1
Lee_2014,Yes,Yes,NR,NR,Yes,NA,No,NR,Yes,No,4,2
Leistra_1993,Yes,Yes,NR,NR,NR,NA,No,NR,No,No,2,1
Lembach_2018,Yes,NR,NR,NR,Yes,NA,No,NR,Yes,Yes,4,1
Lemmens_2013,Yes,NR,NR,Yes,Yes,NA,No,Yes,Yes,Yes,6,3
Levi_2012,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,Yes,4,1
Li_2017,Yes,Yes,Yes,NR,NR,NA,No,Yes,Yes,Yes,6,3
Li_2015_a,Yes,NR,NR,NR,NR,NA,No,NR,Yes,Yes,3,0
Li_2013_a,Yes,NR,NR,NR,NR,NA,No,NR,Yes,No,2,0
Li_2014,Yes,Yes,NR,NR,Yes,NA,No,NR,Yes,Yes,5,2
Li_2010,Yes,NR,Yes,Yes,NR,NA,No,NR,Yes,No,4,2
Li_2018,Yes,Yes,Yes,NR,NR,NA,No,NR,Yes,Yes,5,2
Li_2015_b,Yes,Yes,Yes,NR,Yes,NA,No,NR,Yes,Yes,6,3
Li_2013_b,Yes,NR,Yes,NR,NR,NA,No,NR,Yes,Yes,4,1
Liao_2014,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Liao_2015,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,Yes,4,1
Lie_2017,Yes,Yes,Yes,Yes,Yes,NA,No,Yes,Yes,Yes,8,5
Lie_2018,Yes,Yes,Yes,Yes,Yes,NA,No,Yes,Yes,Yes,8,5
Liebigt_2012,Yes,NR,Yes,NR,NR,NA,No,NR,Yes,No,3,1
Liguz-Lecznar_2014,Yes,NR,NR,NR,NR,NA,No,NR,Yes,No,2,0
Liguz-Lecznar_2015,Yes,NR,NR,NR,NR,NA,Yes,Yes,Yes,Yes,5,1
Lin_2018,Yes,NR,NR,Yes,Yes,NA,No,NR,Yes,Yes,5,2
Lindau_2014,Yes,NR,NR,Yes,Yes,NA,No,NR,Yes,No,4,2
Lippoldt_1993,Yes,NR,NR,NR,NR,NA,No,NR,No,No,1,0
Lipsanen_2013,Yes,NR,Yes,Yes,Yes,NA,Yes,NR,Yes,Yes,7,3
Liu_2017_a,Yes,NR,NR,NR,NR,NA,No,NR,Yes,Yes,3,0
Liu_2017_b,Yes,Yes,Yes,NR,Yes,NA,No,NR,Yes,Yes,6,3
Liu_2017_c,Yes,Yes,Yes,NR,Yes,NA,No,NR,Yes,Yes,6,3
Liu_2017_d,Yes,Yes,Yes,NR,Yes,NA,No,NR,Yes,Yes,6,3
Liu_2015,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,Yes,4,1
Liu_2014_a,Yes,Yes,Yes,NR,Yes,NA,No,NR,Yes,No,5,3
Liu_2014_b,Yes,Yes,NA,NR,Yes,NA,No,NR,Yes,No,4,2
Llovera_2017,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Lloyd-Burton_2013,Yes,NR,NR,Yes,Yes,NA,No,NR,Yes,Yes,5,2
Lopez-Valdes_2014,Yes,NR,Yes,NR,Yes,NA,No,Yes,Yes,Yes,6,3
Lorrio_2013,Yes,Yes,Yes,NR,Yes,NA,No,NR,Yes,No,5,3
Losem-Heinrichs_2005,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Lu_2014,Yes,Yes,Yes,NR,Yes,NA,No,NR,Yes,No,5,3
Lu_2017,Yes,Yes,Yes,No,Yes,NA,No,NR,Yes,Yes,6,3
Lv_2018,Yes,NR,NR,NR,NR,NA,No,NR,Yes,No,2,0
Ma_2015,No,Yes,NR,NR,Yes,NA,No,NR,Yes,Yes,4,2
Madinier_2009,Yes,NR,NR,NR,Yes,NA,No,NR,Yes,Yes,4,1
Madinier_2014_a,Yes,Yes,Yes,Yes,Yes,NA,No,NR,Yes,Yes,7,4
Madinier_2014_b,Yes,Yes,Yes,Yes,NR,NA,No,NR,Yes,Yes,6,3
Maeda_2002,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Maeda_2009,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Maeda_2005,Yes,Yes,NR,NR,Yes,NA,No,NR,Yes,No,4,2
Marumo_2010,Yes,Yes,Yes,NR,Yes,NA,No,NR,Yes,Yes,6,3
Masoero_2000,Yes,Yes,Yes,NR,NR,NA,No,NR,No,No,3,2
Masuko_2018,Yes,NR,NR,NR,NR,NA,No,NR,Yes,Yes,3,0
Matsuno_1993,Yes,Yes,NR,NR,NR,NA,No,NR,No,No,2,1
Maxwell_2005,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Metz_2005,Yes,NR,NA,NA,Yes,NA,No,NR,No,No,2,1
Mikulski_2001,Yes,Yes,Yes,Yes,Yes,NA,Yes,NR,Yes,No,7,4
Millerot_2005,Yes,NR,NR,NR,Yes,NA,No,NR,Yes,No,3,1
Millerot-Serrurot_2007,Yes,Yes,NR,NR,Yes,NA,No,NR,Yes,No,4,2
Miyazaki_2011,Yes,NR,NR,NR,NR,NA,No,NR,Yes,Yes,3,0
Mizuno_1998,No,Yes,NR,NR,NR,NA,No,NR,No,No,1,1
Mizutani_2016,Yes,NR,NR,NR,NR,NA,No,NR,Yes,Yes,3,0
Moller_2015,Yes,Yes,Yes,NR,Yes,NA,Yes,NR,Yes,No,6,3
Moon_2016,No,Yes,Yes,NR,Yes,NA,No,NR,Yes,No,4,3
Moon_2009_a,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Moon_2009_b,Yes,NR,Yes,No,NR,NA,No,NR,Yes,No,3,1
Moriguchi_2004_a,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Moriguchi_2004_b,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Moriguchi_2005,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Muller_2008,Yes,Yes,Yes,NR,Yes,NA,No,NR,Yes,Yes,6,3
Murakami_2013,Yes,Yes,NR,NR,NR,NA,Yes,NR,Yes,Yes,5,1
Nagai_2010_a,Yes,Yes,NR,NR,Yes,NA,No,NR,Yes,No,4,2
Nagai_2010_b,Yes,NR,NR,NR,Yes,NA,No,NR,Yes,No,3,1
Nagai_2007,Yes,Yes,NR,NR,NR,NA,Yes,NR,Yes,Yes,5,1
Nagai_2002,Yes,Yes,NR,NR,NR,NA,No,NR,No,No,2,1
Nagy_2009,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Nahirney_2016,Yes,Yes,NR,NR,Yes,NA,No,NR,Yes,Yes,5,2
Nakagawa_2005,Yes,Yes,Yes,NR,NR,NA,No,NR,Yes,No,4,2
Nakamura_2016,Yes,NR,NR,NR,NR,NA,No,NR,Yes,Yes,3,0
Nakase_1997_a,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Nakase_1997_b,No,Yes,NR,NR,NR,NA,No,NR,Yes,No,2,1
Nakayama_1988,Yes,Yes,NR,NR,NR,NA,No,NR,No,No,2,1
Neumann-Haefelin_1998,Yes,Yes,NR,NR,NR,NA,No,NR,No,No,2,1
Ning_2019,Yes,Yes,Yes,NR,NR,NA,No,NR,Yes,Yes,5,2
Niv_2012,Yes,Yes,Yes,NR,NR,NA,No,NR,Yes,Yes,5,2
Ogawa_2009,Yes,Yes,Yes,NR,NR,NA,No,NR,Yes,No,4,2
Ohmori_2018,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Okabe_2018,Yes,NR,Yes,NR,Yes,NA,No,NR,Yes,Yes,5,2
Okabe_2016,Yes,Yes,Yes,Yes,Yes,NA,No,NR,No,No,5,4
Ong_2017,Yes,NR,Yes,NR,Yes,NA,No,NR,Yes,Yes,5,2
Ostrovskaya_1999,Yes,NR,Yes,NR,NR,NA,No,NR,Yes,No,3,1
Otsuka_2000_a,Yes,Yes,NA,No,NR,NA,Yes,NR,Yes,No,4,1
Otsuka_2000_b,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Pan_2017,Yes,Yes,Yes,NR,NR,NA,No,NR,Yes,Yes,5,2
Parada_2014,Yes,Yes,Yes,NR,NR,NA,No,NR,Yes,No,4,2
Parada_2013,Yes,Yes,Yes,NR,NR,NA,No,NR,Yes,Yes,5,2
Park_2011_a,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,No,3,1
Park_2011_b,Yes,Yes,NR,NR,Yes,NA,No,NR,Yes,Yes,5,2
Parker_2017,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,9,5
Petrovic-Djergovic_2012,Yes,Yes,NR,Yes,Yes,NA,No,NR,Yes,Yes,6,3
Pielecka-Fortuna_2015,Yes,Yes,NR,NR,NR,NA,No,NR,Yes,Yes,4,1
Porritt_2012,Yes,Yes,Yes,Yes,Yes,NA,No,Yes,Yes,Yes,8,5
Prado_1996,Yes,Yes,Yes,NR,NR,NA,No,NR,No,No,3,2
Qian_2016,Yes,Yes,NA,NA,Yes,NA,No,NR,Yes,Yes,5,2
